"annotation_id","annotator","created_at","id","image","label","lead_time","updated_at"
2,"1","2024-10-02T14:13:22.651581Z",1,"http://localhost:8081/GB.364305.A-003.png","[{""x"":13.115586606425317,""y"":20.28999999999998,""width"":57.763432639446975,""height"":50.579999999999984,""rotation"":0,""rectanglelabels"":[""contour""],""original_width"":2653,""original_height"":3553}]",29.668,"2024-10-02T14:13:22.651607Z"
3,"1","2024-10-02T14:14:45.633112Z",2,"http://localhost:8081/GB.366323.A-005.png","[{""x"":20.13,""y"":13,""width"":72.26,""height"":31.33,""rotation"":0,""rectanglelabels"":[""contour""],""original_width"":2653,""original_height"":3553},{""x"":77.71999999999993,""y"":51.42000000000001,""width"":15.68,""height"":32.75156334231805,""rotation"":0,""rectanglelabels"":[""contour""],""original_width"":2653,""original_height"":3553},{""x"":35.13,""y"":41.06,""width"":20.47,""height"":19.28,""rotation"":0,""rectanglelabels"":[""contour""],""original_width"":2653,""original_height"":3553},{""x"":63.89,""y"":43.34,""width"":18.17,""height"":13.37,""rotation"":0,""rectanglelabels"":[""contour""],""original_width"":2653,""original_height"":3553}]",79.752,"2024-10-02T14:14:45.633139Z"
4,"1","2024-10-02T14:18:09.815554Z",3,"http://localhost:8081/GB.366323.A-006.png","[{""x"":7.5968313866427,""y"":52.10999999999998,""width"":72.37511630228613,""height"":36.31999999999994,""rotation"":0,""rectanglelabels"":[""contour""],""original_width"":2592,""original_height"":3508},{""x"":7.41443313034508,""y"":15.280000000000005,""width"":39.80556686965495,""height"":27.880000000000006,""rotation"":0,""rectanglelabels"":[""contour""],""original_width"":2592,""original_height"":3508}]",89.495,"2024-10-02T14:18:09.815581Z"
5,"1","2024-10-02T14:18:54.483199Z",4,"http://localhost:8081/GB.366323.A-007.png","[{""x"":20.95,""y"":22.61,""width"":30.09,""height"":49.86,""rotation"":0,""rectanglelabels"":[""contour""],""original_width"":2592,""original_height"":3508},{""x"":55.47999999999968,""y"":5.850540403559697,""width"":33.63999999999986,""height"":36.15945959644014,""rotation"":0,""rectanglelabels"":[""contour""],""original_width"":2592,""original_height"":3508},{""x"":47.42,""y"":53.36,""width"":18.79,""height"":11.15,""rotation"":0,""rectanglelabels"":[""contour""],""original_width"":2592,""original_height"":3508},{""x"":49.58,""y"":39.34,""width"":12.92,""height"":9.83,""rotation"":0,""rectanglelabels"":[""contour""],""original_width"":2592,""original_height"":3508}]",43.171,"2024-10-02T14:18:54.483217Z"
6,"1","2024-10-02T14:19:53.915159Z",5,"http://localhost:8081/GB.366323.A-008.png","[{""x"":17.83,""y"":11.57,""width"":74.29,""height"":31.89,""rotation"":0,""rectanglelabels"":[""contour""],""original_width"":2653,""original_height"":3553},{""x"":53.63999999999993,""y"":40.730000000000054,""width"":39.58950962293623,""height"":42.839999999999975,""rotation"":0,""rectanglelabels"":[""contour""],""original_width"":2653,""original_height"":3553}]",51.157,"2024-10-02T14:19:53.915188Z"
7,"1","2024-10-02T14:21:01.831540Z",6,"http://localhost:8081/GB.366323.A-009.png","[{""x"":6.369999999999991,""y"":39.832272407169214,""width"":75.07999999999981,""height"":48.565958957946386,""rotation"":0,""rectanglelabels"":[""contour""],""original_width"":2653,""original_height"":3553},{""x"":7.43,""y"":13.51,""width"":24.92,""height"":26.01,""rotation"":0,""rectanglelabels"":[""contour""],""original_width"":2653,""original_height"":3553}]",66.055,"2024-10-02T14:21:01.831558Z"
8,"1","2024-10-02T14:22:21.719043Z",7,"http://localhost:8081/GB.366323.A-010.png","[{""x"":44.949999999999946,""y"":3.756603773584905,""width"":46.55506486351649,""height"":50.9433962264151,""rotation"":0,""rectanglelabels"":[""contour""],""original_width"":2592,""original_height"":3508},{""x"":20.39120683223798,""y"":30.049999999999944,""width"":30.188793167761936,""height"":43.60999999999989,""rotation"":0,""rectanglelabels"":[""contour""],""original_width"":2592,""original_height"":3508}]",76.833,"2024-10-02T14:22:21.719066Z"
9,"1","2024-10-02T14:22:49.337041Z",8,"http://localhost:8081/GB.369611.A-005.png","[{""x"":27.08,""y"":9.15,""width"":48.53,""height"":45.41,""rotation"":0,""rectanglelabels"":[""contour""],""original_width"":2592,""original_height"":3508},{""x"":35.46,""y"":56.01,""width"":19.91,""height"":26.8,""rotation"":0,""rectanglelabels"":[""contour""],""original_width"":2592,""original_height"":3508}]",21.129,"2024-10-02T14:22:49.337062Z"
10,"1","2024-10-02T14:23:48.445435Z",9,"http://localhost:8081/GB.374289.A-005.png","[{""x"":18.232259426596308,""y"":15.255795148247955,""width"":60.184307933956546,""height"":59.19024258760095,""rotation"":0,""rectanglelabels"":[""contour""],""original_width"":2653,""original_height"":3553}]",54.374,"2024-10-02T14:23:48.445469Z"
11,"1","2024-10-02T14:24:57.802220Z",10,"http://localhost:8081/GB.374851.A-004.png","[{""x"":26.31,""y"":35.52,""width"":41.44,""height"":23.49,""rotation"":0,""rectanglelabels"":[""contour""],""original_width"":2592,""original_height"":3508},{""x"":29.05,""y"":13.88,""width"":39.58,""height"":16.31,""rotation"":0,""rectanglelabels"":[""contour""],""original_width"":2592,""original_height"":3508},{""x"":31.829999999999988,""y"":64.51000000000002,""width"":33.263982562976295,""height"":16.820000000000018,""rotation"":0,""rectanglelabels"":[""contour""],""original_width"":2592,""original_height"":3508}]",67.254,"2024-10-02T14:24:57.802250Z"
12,"1","2024-10-02T14:25:12.839475Z",11,"http://localhost:8081/GB.380069.A-012.png","[{""x"":18.29,""y"":28.62,""width"":62.81,""height"":43.64,""rotation"":0,""rectanglelabels"":[""contour""],""original_width"":2592,""original_height"":3508}]",12.847,"2024-10-02T14:25:12.839494Z"
