GB.230155.A,FR.589794.A
GB.174543.A,FR.552466.A
GB.156219.A,FR.505122.A
GB.496119.A,FR.836250.A
GB.264587.A,FR.624812.A
GB.193392.A,FR.558008.A
GB.409532.A,FR.758242.A
GB.191419199.A,FR.479457.A
GB.486836.A,FR.827980.A
GB.403328.A,FR.755964.A
GB.157231.A,FR.534848.A
GB.422361.A,FR.765019.A
GB.450245.A,FR.782582.A
GB.532815.A,FR.857973.A
GB.191012748.A,FR.417712.A
GB.191017965.A,FR.419259.A
GB.355171.A,FR.711077.A
GB.190915657.A,FR.404704.A
GB.374851.A,FR.730195.A
GB.428025.A,FR.770635.A
GB.191500509.A,FR.475093.A
GB.357314.A,FR.718976.A
GB.191110043.A,FR.429088.A
GB.442723.A,FR.796292.A
GB.282727.A,FR.638938.A
GB.501859.A,FR.830892.A
GB.416289.A,FR.767979.A
GB.191421962.A,FR.476496.A
GB.208112.A,FR.567635.A
GB.191212676.A,FR.445117.A
GB.362052.A,FR.704062.A
GB.517116.A,FR.836590.A
GB.150182.A,FR.505299.A
GB.109315.A,FR.484447.A
GB.191308371.A,FR.450445.A
GB.228135.A,FR.591500.A
GB.183135.A,FR.553148.A
GB.220243.A,FR.577949.A
GB.191116508.A,FR.432299.A
GB.402362.A,FR.753657.A
GB.324544.A,FR.666267.A
GB.356676.A,FR.693889.A
GB.194649.A,FR.550509.A
GB.458743.A,FR.807401.A
GB.425576.A,FR.776481.A
GB.191020675.A,FR.420038.A
GB.400571.A,FR.729744.A
GB.156135.A,FR.519648.A
GB.191502401.A,FR.470849.A
GB.292013.A,FR.647728.A
